PERMIS;ACV;SEX;STATUT;CSP;USAGE;AGECOND;K8000;RM;CAR;CLA;ALI;ENE;VIT;SEGM;GARAGE;CHARGE
245;10;F;C;50;2;40;N;64;BER;A;CAR;ES;130-140;A;3;0
348;10;F;A;50;1;63;N;50;BER;A;CAR;ES;001-130;0;3;0
16;10;F;C;26;2;20;N;95;BER;A;CAR;ES;001-130;0;3;0
291;10;F;A;50;1;56;N;50;BER;A;CAR;ES;001-130;0;3;0
123;10;F;A;50;1;29;N;95;BER;A;CAR;ES;140-150;B;3;0
295;10;F;A;37;1;43;O;50;BER;A;CAR;ES;001-130;A;3;0
24;10;F;A;50;2;21;N;90;BER;A;CAR;ES;130-140;A;3;0
181;9;F;A;50;3;35;N;50;BER;A;INJ;ES;130-140;A;3;0
157;10;M;C;55;1;31;N;72;BER;A;CAR;ES;150-160;0;3;0
338;10;M;C;1;2;48;N;50;BER;A;INJ;ES;130-140;A;2;179
20;10;M;C;26;2;19;N;95;BER;A;CAR;ES;001-130;B;3;0
208;10;F;A;50;2;39;N;60;BER;A;CAR;ES;130-140;A;3;0
127;10;F;A;37;1;29;O;57;BER;A;CAR;ES;150-160;A;1;0
93;7;F;C;50;2;39;N;100;BER;A;INJ;ES;130-140;A;3;0
134;10;F;A;50;1;36;O;61;BER;A;CAR;ES;001-130;0;3;0
416;10;F;C;50;1;60;N;95;BER;A;CAR;ES;001-130;B;3;0
383;10;F;C;37;1;56;N;85;BER;A;CAR;ES;001-130;B;3;0
417;10;F;A;37;1;57;N;51;BER;A;CAR;ES;001-130;0;2;0
460;10;F;A;37;1;57;N;85;BER;A;CAR;ES;001-130;A;3;0
38;10;F;C;50;2;35;N;85;BER;A;CAR;ES;001-130;0;3;0
381;7;F;C;55;2;57;N;80;BER;A;INJ;ES;140-150;B;3;0
212;5;F;A;1;1;39;N;90;BER;A;INJ;ES;130-140;A;3;0
276;9;F;C;55;2;41;N;50;BER;A;INJ;ES;130-140;A;3;0
463;9;F;A;48;2;58;N;52;BER;A;INJ;ES;130-140;A;3;488
130;10;F;C;50;2;30;O;68;BER;A;CAR;ES;001-130;A;3;0
142;10;F;A;50;1;32;N;90;BER;A;CAR;ES;001-130;0;3;0
