claim_act_id,pet_id,claim_type,act_date_month,claim_creation_month,claim_close_month,paid_by_client,claims_reimbursed
C_sxvyoutf_1,p756,MALADIE,2022-04-01,2022-04-01,2022-04-01,42,42.0
C_k0cn852w_1,p309,PREVENTION,2022-08-01,2022-08-01,2022-08-01,80.7,80.7
C_k45y8woz_2,p901,PREVENTION,2022-07-01,2022-07-01,2022-07-01,6.9,6.9
C_tpxzwb50_1,p558,ACCIDENT,2022-01-01,2022-01-01,2022-01-01,15.15,15.15
C_tpxzwb50_2,p558,ACCIDENT,2022-01-01,2022-01-01,2022-01-01,39.9,39.9
C_tpxzwb50_3,p558,ACCIDENT,2022-01-01,2022-01-01,2022-01-01,11.6,11.6
C_c3wxtuc3_1,p137,PREVENTION,2022-01-01,2022-01-01,2022-01-01,65,65.0
C_c3wxtuc3_2,p137,PREVENTION,2022-01-01,2022-01-01,2022-01-01,8.5,8.5
C_3dsz0gcr_1,p786,PREVENTION,2022-01-01,2022-01-01,2022-01-01,327.3,100.0
C_5w76h0gp_1,p1259,PREVENTION,2022-01-01,2022-01-01,2022-01-01,15.7,15.7
C_ln3wwx91_1,p1142,PREVENTION,2022-01-01,2022-01-01,2022-01-01,53,53.0
C_ln3wwx91_2,p1142,PREVENTION,2022-01-01,2022-01-01,2022-01-01,9.1,9.1
C_9ma0z8e3_1,p734,PREVENTION,2022-01-01,2022-01-01,2022-01-01,83,83.0
C_ewzk1xkv_1,p116,MALADIE,2022-01-01,2022-01-01,2022-01-01,47,47.0
C_ewzk1xkv_4,p116,MALADIE,2022-01-01,2022-01-01,2022-01-01,14,14.0
C_ewzk1xkv_3,p116,MALADIE,2022-01-01,2022-01-01,2022-01-01,18,18.0
C_2rrfv3eq_1,p1055,PREVENTION,2022-01-01,2022-01-01,2022-01-01,100.03,100.0
C_yony23on_1,p1255,PREVENTION,2022-01-01,2022-01-01,2022-01-01,55.8,55.8
C_3r5hff4l_1,p346,PREVENTION,2022-01-01,2022-01-01,2022-01-01,79.5,79.5
C_j40qqro2_1,p510,PREVENTION,2022-01-01,2022-02-01,2022-02-01,9.5,9.5
C_utdzwqms_1,p82,PREVENTION,2022-01-01,2022-01-01,2022-01-01,36,36.0
C_utdzwqms_3,p82,PREVENTION,2022-01-01,2022-01-01,2022-01-01,8,8.0
C_utdzwqms_2,p82,PREVENTION,2022-01-01,2022-01-01,2022-01-01,13.5,13.5
C_xjpcti1i_1,p267,PREVENTION,2022-01-01,2022-02-01,2022-02-01,276,100.0
C_dtomevd0_1,p895,PREVENTION,2022-01-01,2022-02-01,2022-02-01,276,100.0
C_ivldqmno_1,p911,ACCIDENT,2022-01-01,2022-01-01,2022-01-01,145.5,116.4
