event_month,pet_id,subscription_date,subscription_cancelled_date,pet_type,pet_race,pet_age_at_subscription,total_ttc,total_ht,total_hthc,health_ttc,health_ht,health_hthc,prevention_ttc,prevention_ht,prevention_hthc,health_limit,rate,prevention_limit
2022-03-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-04-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-05-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-06-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-07-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-08-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-09-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-10-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-11-01,p1,2022-03-18,,dog,yorkshire terrier,6,19.99,18.34,13.92,19.99,18.34,13.92,,,,1000,0.8,
2022-11-01,p10,2022-11-12,,dog,malinois,0,17.15,15.73,11.83,17.15,15.73,11.83,,,,1000,1,
2022-03-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-04-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-05-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-06-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-07-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-08-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-09-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-10-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-11-01,p100,2022-03-07,,dog,yorkshire terrier,4,23.99,22.01,18.99,16.99,15.59,12.57,7,6.42,6.42,1000,1,100
2022-11-01,p1000,2022-11-04,,cat,maine coon,1,35.15,32.25,27.08,28.15,25.83,20.66,7,6.42,6.42,1500,1,100
2022-11-01,p1001,2022-11-21,,cat,siamois,5,25.15,23.07,18.84,18.15,16.65,12.42,7,6.42,6.42,1000,0.6,100
2022-11-01,p1003,2022-11-28,,cat,maine coon,3,40.15,36.83,26.5,33.15,30.41,20.08,7,6.42,6.42,1200,1,100
2022-09-01,p1004,2022-09-24,,dog,spitz allemand nain,0,24.99,22.92,19.8,17.99,16.5,13.38,7,6.42,6.42,1200,1,100
2022-10-01,p1004,2022-09-24,,dog,spitz allemand nain,0,24.99,22.92,19.8,17.99,16.5,13.38,7,6.42,6.42,1200,1,100
2022-11-01,p1004,2022-09-24,,dog,spitz allemand nain,0,24.99,22.92,19.8,17.99,16.5,13.38,7,6.42,6.42,1200,1,100
2022-08-01,p1005,2022-08-25,,dog,golden retriever,0,26.99,24.76,21.91,19.99,18.34,15.49,7,6.42,6.42,1500,1,100
2022-09-01,p1005,2022-08-25,,dog,golden retriever,0,26.99,24.76,21.91,19.99,18.34,15.49,7,6.42,6.42,1500,1,100
2022-10-01,p1005,2022-08-25,,dog,golden retriever,0,26.99,24.76,21.91,19.99,18.34,15.49,7,6.42,6.42,1500,1,100
2022-11-01,p1005,2022-08-25,,dog,golden retriever,0,26.99,24.76,21.91,19.99,18.34,15.49,7,6.42,6.42,1500,1,100
2022-08-01,p1006,2022-08-24,,dog,berger australien,1,18.99,17.42,15.7,11.99,11,9.28,7,6.42,6.42,1000,0.8,100
2022-09-01,p1006,2022-08-24,,dog,berger australien,1,18.99,17.42,15.7,11.99,11,9.28,7,6.42,6.42,1000,0.8,100
2022-10-01,p1006,2022-08-24,,dog,berger australien,1,18.99,17.42,15.7,11.99,11,9.28,7,6.42,6.42,1000,0.8,100
2022-11-01,p1006,2022-08-24,,dog,berger australien,1,18.99,17.42,15.7,11.99,11,9.28,7,6.42,6.42,1000,0.8,100
2022-05-01,p1007,2022-05-27,,dog,samoyede,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-06-01,p1007,2022-05-27,,dog,samoyede,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-07-01,p1007,2022-05-27,,dog,samoyede,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-08-01,p1007,2022-05-27,,dog,samoyede,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-09-01,p1007,2022-05-27,,dog,samoyede,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-10-01,p1007,2022-05-27,,dog,samoyede,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-11-01,p1007,2022-05-27,,dog,samoyede,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-07-01,p1009,2022-07-09,,dog,bouledogue francais,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-08-01,p1009,2022-07-09,,dog,bouledogue francais,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-09-01,p1009,2022-07-09,,dog,bouledogue francais,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-10-01,p1009,2022-07-09,,dog,bouledogue francais,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-11-01,p1009,2022-07-09,,dog,bouledogue francais,1,21.99,20.17,18.25,14.99,13.75,11.83,7,6.42,6.42,1000,1,100
2022-10-01,p101,2022-10-12,,cat,ragdoll,0,19.74,18.11,15.51,12.74,11.69,09.09,7,6.42,6.42,1000,0.7,100
2022-11-01,p101,2022-10-12,,cat,ragdoll,0,19.74,18.11,15.51,12.74,11.69,09.09,7,6.42,6.42,1000,0.7,100
2022-10-01,p1010,2022-10-12,,cat,bengal,0,21.99,20.17,17.11,14.99,13.75,10.69,7,6.42,6.42,1000,0.7,100
2022-11-01,p1010,2022-10-12,,cat,bengal,0,21.99,20.17,17.11,14.99,13.75,10.69,7,6.42,6.42,1000,0.7,100
2022-07-01,p1012,2022-07-20,,cat,persan,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-08-01,p1012,2022-07-20,,cat,persan,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-09-01,p1012,2022-07-20,,cat,persan,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-10-01,p1012,2022-07-20,,cat,persan,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-11-01,p1012,2022-07-20,,cat,persan,0,24.99,22.92,18.79,17.99,16.5,12.37,7,6.42,6.42,1000,0.8,100
2022-06-01,p1013,2022-06-02,,cat,siamois,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-07-01,p1013,2022-06-02,,cat,siamois,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-08-01,p1013,2022-06-02,,cat,siamois,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-09-01,p1013,2022-06-02,,cat,siamois,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-10-01,p1013,2022-06-02,,cat,siamois,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-11-01,p1013,2022-06-02,,cat,siamois,0,26.99,24.76,20.33,19.99,18.34,13.91,7,6.42,6.42,1200,0.8,100
2022-09-01,p1014,2022-09-01,,cat,sacr̩ de birmanie,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
2022-10-01,p1014,2022-09-01,,cat,sacr̩ de birmanie,0,28.99,26.59,22.2,21.99,20.17,15.78,7,6.42,6.42,1000,1,100
